Score, Time
100,20220428195503
200,20220428195505
300,20220428195506
400,20220428195507
500,20220428195508
600,20220428195511
700,20220428195518
800,20220428195522
900,20220428195529
1000,20220428195536
1100,20220428195540
1200,20220428195545
