Score, Time
100,20220428195950
200,20220428195953
300,20220428200004
400,20220428200007
500,20220428200008
600,20220428200010
700,20220428200013
800,20220428200014
900,20220428200019
1000,20220428200034
1100,20220428200047
1200,20220428200056
