Score, Time
100,20220428112449
200,20220428112456
300,20220428112456
400,20220428112500
500,20220428112502
600,20220428112502
700,20220428112503
800,20220428112508
900,20220428112514
1000,20220428112522
1100,20220428112527
1200,20220428112536
