Score, Time
100,20220428200858
200,20220428200859
300,20220428200859
400,20220428200901
500,20220428200903
600,20220428200903
700,20220428200904
800,20220428200904
900,20220428200905
1000,20220428200908
1100,20220428200911
1200,20220428200914
